,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
7,48,34,.585,—,120.7,118.1,2.30,2005,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,2005,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,2005,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,2005,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,2005,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2005,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,2005,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,2005,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,2005,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,2005,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,2005,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,2006,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,2006,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,2006,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,2006,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,2006,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2006,Central Division
6,58,24,.707,—,116.9,113.3,3.61,2006,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,2006,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,2006,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,2006,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,2006,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2006,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,2006,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,2006,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,2006,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,2006,Orlando Magic
